start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00,0 days 00:00:00.020000,0.036620565,-22.231188,33.58428,-0.054105997,0.026182512,0.004280455,7.3494606,14.080638,17.798498,10.603459,0.0,0.0,0.0,0.0,0.0,0.0,1014.92267,1144.9678,-201.0,2023.8802,1179.4974,-201.0,2961.3242,863.51025,-201.0
0 days 00:00:00.010000,0 days 00:00:00.030000,0.035347328,-24.530127,36.53933,-0.05490167,0.02094479,0.0089139845,8.155534,14.570273,15.676188,8.259105,0.0,0.0,0.0,0.0,0.0,0.0,996.9982,1228.394,-201.0,2048.0586,1202.9901,-201.0,2922.6396,895.20917,-201.0
0 days 00:00:00.020000,0 days 00:00:00.040000,0.034773927,-25.316446,38.16882,-0.05867551,0.016699942,0.013691896,8.150909,15.901883,13.796527,7.758673,0.0,0.0,0.0,0.0,0.0,0.0,1023.9514,1746.5214,-201.0,1908.743,1277.6764,-201.0,2864.078,959.24884,-201.0
0 days 00:00:00.030000,0 days 00:00:00.050000,0.037970368,-21.849371,33.158794,-0.051043537,0.0156757,0.013707541,4.6286793,18.346727,12.286824,7.277043,0.0,0.0,0.0,0.0,0.0,0.0,1038.6974,1725.6058,-201.0,1883.1553,1245.052,-201.0,2851.411,871.7518,-201.0
0 days 00:00:00.040000,0 days 00:00:00.060000,0.038702425,-21.143106,32.667645,-0.052682772,0.018412476,0.015547554,3.21923,20.39586,12.689926,8.585206,0.0,0.0,0.0,0.0,0.0,0.0,985.42676,2242.4426,-201.0,1739.2601,1305.9377,-201.0,2809.4485,882.3735,-201.0
0 days 00:00:00.050000,0 days 00:00:00.070000,0.03875944,-18.46089,29.74534,-0.045743722,0.021946467,0.01836433,2.5740876,19.578432,12.122231,7.217293,0.0,0.0,0.0,0.0,0.0,0.0,677.3809,2004.4786,-201.0,1612.7568,1158.8004,-201.0,2650.2363,809.59,-201.0
0 days 00:00:00.060000,0 days 00:00:00.080000,0.037904136,-18.986216,30.488579,-0.053708818,0.02270563,0.015589669,3.754615,18.891428,14.716186,7.684583,0.0,0.0,0.0,0.0,0.0,0.0,726.6578,1936.9183,-201.0,1687.8359,1150.3717,-201.0,2678.0664,819.8393,-201.0
0 days 00:00:00.070000,0 days 00:00:00.090000,0.043210115,-15.951165,26.758413,-0.04377396,0.021546507,0.013893228,2.2666535,17.62567,15.898747,2.621948,0.0,0.0,0.0,0.0,0.0,0.0,746.0285,1347.8549,-201.0,1830.5468,909.6097,-201.0,2723.1174,716.59033,-201.0
0 days 00:00:00.080000,0 days 00:00:00.100000,0.04631096,-19.421854,30.823195,-0.047679123,0.01851368,0.014236949,2.1771169,17.752674,16.393301,4.4641023,0.0,0.0,0.0,0.0,0.0,0.0,973.1094,1576.8397,-201.0,1952.9415,1051.8466,-201.0,2901.5461,726.2664,-201.0
0 days 00:00:00.090000,0 days 00:00:00.110000,0.04784577,-22.031189,33.863876,-0.054628436,0.021666562,0.016550787,1.7143358,15.486489,16.503843,7.5431595,0.0,0.0,0.0,0.0,0.0,0.0,988.79443,1539.6265,-201.0,1939.9459,1193.3607,-201.0,2795.0645,830.31396,-201.0
0 days 00:00:00.100000,0 days 00:00:00.120000,0.3549776,-16.78558,26.931059,-0.048907626,0.012469768,0.16989362,3.7082984,9.399149,13.276421,8.95742,0.0,0.0,0.0,0.0,0.0,0.0,850.6089,1651.5853,-201.0,1774.1967,1285.2291,-201.0,2645.0857,1597.5074,-201.0
0 days 00:00:00.110000,0 days 00:00:00.130000,0.701864,-8.171296,13.768207,-0.026631393,0.00048368238,0.2874131,1.7936726,5.8597703,16.869665,1.9234082,0.0,0.0,0.0,0.0,0.0,0.0,671.29364,1120.2034,-135.12852,1732.7572,945.43524,-142.78307,2496.743,1556.3033,-141.16847
0 days 00:00:00.120000,0 days 00:00:00.140000,0.9964219,-2.0185854,4.312802,-0.01516858,-0.009971478,0.46973696,3.453019,4.268554,24.138288,0.25310612,31.316086,0.0,0.0,0.9758295,-4.2567053,17.147585,738.0367,951.61993,-75.815865,1778.1215,796.09644,-79.34513,2688.0388,1506.8994,-80.6164
0 days 00:00:00.130000,0 days 00:00:00.150000,1.2544152,-6.591829,9.168393,-0.00048563568,-0.016735248,1.131706,9.632037,7.823508,30.315695,1.8267788,30.975769,0.0,0.0,0.57523125,-4.799208,16.644197,689.65607,850.57666,-9.478082,1768.0337,621.20294,-17.84007,2748.7988,821.43085,-19.491096
0 days 00:00:00.140000,0 days 00:00:00.160000,1.7434374,-10.337595,15.1666765,0.011006501,-0.023095677,1.9867586,18.244682,6.4948826,28.532187,5.3831973,30.31486,0.0,0.0,1.0242416,-4.932327,13.510826,697.24994,897.7072,-7.4250484,1792.3243,732.8413,-13.990021,2775.9656,1001.68,-15.28745
0 days 00:00:00.150000,0 days 00:00:00.170000,2.3119488,-11.932103,17.812971,0.036895517,-0.035766825,2.4881394,25.412237,0.935715,19.659346,4.563734,29.79297,0.0,0.0,1.8017801,-2.3680966,15.341588,385.82153,1104.6029,-0.08963426,1521.3633,696.1237,-15.9500475,2525.633,994.8403,-15.8379135
0 days 00:00:00.160000,0 days 00:00:00.180000,2.4034262,-11.637268,17.353159,0.043984804,-0.039135203,2.514778,27.895498,-5.4608884,12.369817,0.35992894,29.252525,0.0,0.0,2.929245,0.0835228,16.712118,406.06665,1137.8344,-0.31391224,1539.8932,823.0901,-15.19016,2595.687,1534.0731,-16.942507
0 days 00:00:00.170000,0 days 00:00:00.190000,2.0458071,-14.33431,20.969437,0.036012705,-0.04240034,1.9447618,31.364126,-7.039566,6.060091,-4.6331162,28.807024,0.0,0.0,4.3796077,1.4226662,18.075674,426.16312,1225.7499,-2.4720209,1639.8584,926.1159,-13.094322,2723.14,1677.139,-19.125027
0 days 00:00:00.180000,0 days 00:00:00.200000,1.5849671,-15.955077,24.77299,0.038137782,-0.040997643,1.7492243,33.74531,-5.852196,2.3991988,-7.3590355,28.476694,0.014804106,1.8433058,5.3818183,1.137222,14.692285,443.1245,1216.0846,-4.20401,1646.3134,982.4914,-11.302146,2734.8926,1651.9858,-17.759073
0 days 00:00:00.190000,0 days 00:00:00.210000,1.4078315,-13.866714,23.42359,0.03028538,-0.039646957,1.0780647,32.713825,-7.2384295,4.3421454,-5.077734,28.288427,0.019061115,2.2042296,6.031753,1.4533888,13.852468,439.79605,1165.068,-6.808538,1617.6713,916.52997,-13.276657,2660.576,1115.2272,-19.207617
0 days 00:00:00.200000,0 days 00:00:00.220000,1.3431689,-10.161718,18.195238,0.035055075,-0.035517976,0.82778215,31.332504,-9.523153,8.542065,-1.3344961,28.023996,0.016262017,2.0788887,5.8832183,2.6677647,16.780025,434.20297,1115.8525,-8.793762,1529.6176,868.8929,-19.645987,2601.92,976.0696,-24.097483
0 days 00:00:00.210000,0 days 00:00:00.230000,1.2065521,-10.188329,16.830545,0.03073364,-0.03300319,0.49839053,31.28157,-7.9742527,12.803509,1.0324512,27.749037,0.011919753,1.8901535,6.2997894,3.9060042,22.825287,489.61008,1214.7692,-12.063663,1584.6162,856.1966,-27.612173,2656.4954,862.9382,-31.45632
0 days 00:00:00.220000,0 days 00:00:00.240000,0.89347655,-14.341778,21.780466,0.022045188,-0.035869785,0.44936943,31.873919,1.4829057,19.49183,0.025183598,27.770868,0.010909478,1.5934542,7.3345666,4.1580243,29.145454,494.089,1228.2021,-12.707603,1611.4037,866.0081,-34.403687,2678.0007,823.3908,-38.168407
0 days 00:00:00.230000,0 days 00:00:00.250000,0.58598465,-20.494148,28.586761,0.005144585,-0.028848214,0.38177547,30.91331,16.770224,22.91149,2.1370697,28.162687,0.015037042,1.3488163,8.180432,3.3780925,35.2507,469.78638,1252.3256,-12.738422,1625.6051,845.15216,-36.3274,2730.0107,804.7796,-43.892944
0 days 00:00:00.240000,0 days 00:00:00.260000,0.42120877,-25.28449,33.855713,-0.015055054,-0.024616426,0.2555389,28.136942,29.88201,28.554298,2.3995605,28.662828,0.019151092,1.4107199,8.673129,2.5425978,39.927113,395.65298,1176.392,-9.627273,1566.1742,842.7868,-34.37685,2732.0857,873.4248,-47.011784
0 days 00:00:00.250000,0 days 00:00:00.270000,0.3782256,-27.939402,36.338272,-0.016655462,-0.015879832,0.18121685,27.381426,36.3784,27.19766,4.734426,28.91215,0.0127332965,0.74552417,9.109055,2.2674546,42.309708,379.13974,1263.6898,-7.220062,1547.5645,920.9841,-29.927216,2812.9617,943.3816,-47.262314
0 days 00:00:00.260000,0 days 00:00:00.280000,0.4074739,-27.982435,37.049053,-0.002848982,-0.014599866,0.14196283,29.633215,34.75698,25.981081,5.330535,28.881912,0.016462239,0.646974,9.499825,2.4392264,43.75108,478.95044,1293.9916,-11.70432,1592.3917,900.1587,-27.976019,2814.4797,863.72723,-46.84936
0 days 00:00:00.270000,0 days 00:00:00.290000,0.4490333,-26.16617,36.622295,0.009206567,-0.009601727,0.14967287,32.5604,30.739588,21.186438,7.4787927,28.731062,0.019486522,0.473592,9.822281,2.7895195,44.80258,488.76535,1313.1339,-10.832928,1594.235,935.1113,-27.894663,2858.7263,1059.392,-46.67918
0 days 00:00:00.280000,0 days 00:00:00.300000,0.45602807,-24.994522,35.10777,0.011810747,-0.0069183935,0.14145148,34.92615,28.083588,18.32212,10.173633,28.621475,0.01847841,0.4879175,9.745232,2.8449013,44.24745,490.13693,1246.4525,-10.395485,1593.5587,856.39825,-28.327423,2837.617,1084.6514,-45.631226
0 days 00:00:00.290000,0 days 00:00:00.310000,0.44099784,-24.632723,33.473778,0.008657116,-0.008836257,0.1286878,34.91618,27.31344,18.64519,10.393476,28.734398,0.0141215725,0.5567593,7.253716,2.6212478,38.094395,387.58017,1259.9691,-3.896108,1519.2207,948.3929,-25.723215,2846.7263,1156.1265,-39.36925
0 days 00:00:00.300000,0 days 00:00:00.320000,0.4086472,-25.701109,31.530767,0.013121813,-0.012923774,0.11150833,34.99644,28.971685,19.963522,8.654112,29.501196,0.010469396,0.700433,4.0848117,1.6542835,27.823624,440.40274,1321.835,-2.906093,1572.3486,910.28955,-20.034985,2885.6545,1034.9344,-29.270775
0 days 00:00:00.310000,0 days 00:00:00.330000,0.40141633,-26.66337,32.690815,0.014691194,-0.014221635,0.12067834,34.9664,30.448736,18.28011,6.7208924,30.327026,0.0145708015,1.0089655,1.6411319,0.35008907,19.969917,442.0693,1312.1066,-2.0120716,1588.0577,937.9102,-12.582176,2854.7517,1053.8029,-21.361689
0 days 00:00:00.320000,0 days 00:00:00.340000,0.50837487,-24.43511,33.186,0.016171629,-0.01546939,0.2300381,34.83907,25.082222,16.432533,4.2461476,31.086126,0.0145708015,1.0089655,1.0408231,-0.6422456,15.640683,449.9829,1196.9796,-0.8574192,1581.2799,809.861,-8.9699335,2786.092,982.4085,-16.61675
